"inst_name","grad_rate_6yr","pct_pell","pct_loan","cost_attendance","tuition_in_state","tuition_out_state","pct_admitted","enrollment","stud_fac_ratio","retention_rate","avg_fac_salary","instr_exp_per_stud","pct_full_time_fac","pct_first_gen","avg_age_entry","pct_female","pct_hispanic"
"Roger Williams University",0.6865,16.4,55.6,61950,44418,44418,87.71,3946,10,0.8109,13293,17170,42.27,19.65909091,"20.546386192",58.68392665,11.58
"Salve Regina University",0.7688,15.07,70.24,70630,50100,50100,68.17,2121,12,0.8279,9135,10870,95,18.58500528,"19.730417091",71.41403866,11.13
"Allen University",0.1331,76.54,80.16,23998,14304,14304,72.54,576,12,0.4497,5502,4373,49.37,50.65616798,"21.097727273",50,4.17
"Anderson University",0.6568,20.77,41.99,50192,34970,34970,54.71,3183,13,0.8186,7635,8526,99.53,25.34562212,"22.545588235",69.55882353,5.59
"Charleston Southern University",0.4724,34.49,48.46,44558,32520,32520,96.46,2893,12,0.6314,6523,9047,58.33,30.71816536,"22.16751269",62.88776086,8.78
"Benedict College",0.2426,62.34,63.34,32000,17440,17440,95.7,1536,13,0.5732,6890,5465,73.33,40.78762307,"20.529620853",45.55687204,2.73
"Southern Wesleyan University",0.5236,43.07,78.24,39914,29800,29800,99.53,747,10,0.6899,5744,6423,100,39.14956012,"26.280160858",63.13672922,8.57
"College of Charleston",0.6583,18.83,38.04,32362,12978,38296,60.03,10558,16,0.8196,10384,10229,64.58,20.06198929,"20.903627504",65.78234976,7.71
"Citadel Military College of South Carolina",0.75,19.8,36.49,33880,12570,38508,22.72,2705,11,0.8578,10071,10016,69.81,18.81881882,"21.7086915",11.84336199,9.69
"Claflin University",0.516,73.49,73.55,33530,18282,18282,64.93,1706,13,0.7549,7329,10302,71.95,32.35867446,"21.43452381",67.00680272,0.76
"Clemson University",0.8656,14.75,31.16,35015,15554,40866,38.34,23300,16,0.9347,12153,14641,87.64,17.24543849,"20.472703063",50.37093399,9.1
"Coker University",0.3953,25.7,42.12,45805,33416,33416,93.96,840,12,0.6941,5977,6216,41.56,37.61609907,"24.031811895",56.84647303,0.48
"Columbia International University",0.4679,34.17,45.85,43045,27900,27900,94.47,716,13,0.5327,6410,5595,96.36,24.13793103,"22.479674797",55.28455285,0.28
"Columbia College",0.3688,53.98,65.25,35258,22214,22214,93.93,1343,12,0.6042,5937,7242,33.7,41.39037433,"29.220918866",72.53176931,10.05
"Erskine College",0.4518,46.8,75.37,55248,36710,36710,62.74,766,15,0.5578,5645,6597,100,22.25352113,"19.774278215",44.61942257,5.74
"Francis Marion University",0.4339,37.62,38.48,23850,11160,21544,86.39,2628,13,0.7002,8506,13853,68.09,36.26782393,"21.189295775",68.56338028,6.51
"Furman University",0.7876,13.19,27.8,76798,59770,59770,42.95,2379,10,0.9061,10399,25690,83.59,12.37785016,"20.020667727",58.50556439,7.19
"Lander University",0.4977,38.73,48.71,27277,11700,21300,81.31,3397,18,0.6961,7527,6195,54.32,31.7092034,"20.109598854",71.27507163,2.09
"Limestone University",0.3533,43.43,67.58,40671,27800,27800,97.26,1482,11,0.6409,6296,6932,100,42.9598562,"27.422281167",56.12732095,11.88
"Newberry College",0.4514,48.7,73.12,46442,31100,31100,89.79,1479,15,0.6925,7467,8029,100,31.31313131,"20.335949765",44.89795918,1.83
"North Greenville University",0.5453,33.35,49.46,42034,25800,25800,66.67,1819,13,0.7249,6276,8393,67.11,26.7,"21.826959847",46.36711281,5.5
"Presbyterian College",0.5146,33.33,50.5,60242,44910,44910,68.37,852,11,0.7955,8263,13172,98.94,19.75609756,"19.579196217",48.93617021,9.98
"University of South Carolina Aiken",0.3985,39.24,43.41,21540,10760,21218,78.54,2962,16,0.6678,8537,10925,60.95,32.70967742,"21.887559809",65.61004785,9.72
"University of South Carolina Beaufort",0.3399,40.11,48.62,24353,10730,21776,72.5,2052,15,0.6126,8392,9434,52.72,30.95843936,"22.129310345",70.92476489,13.11
"University of South Carolina-Columbia",0.7882,19.11,41.12,31638,12688,35972,60.15,29820,19,0.922,12414,14139,75.09,19.53144894,"20.521455797",55.60063937,6.77
"Coastal Carolina University",0.4846,26.24,56.7,26692,11640,29628,75.27,10377,17,0.7743,9103,8741,100,26.56186198,"20.580092414",53.46553716,7.01
"South Carolina State University",0.3663,70.49,67.2,30015,11060,21750,82.62,2934,19,0.5646,8174,8130,100,35.93109106,"20.318411552",49.02527076,0.1
"University of South Carolina-Upstate",0.4304,46.19,49.3,25124,11588,23090,67.26,4038,15,0.6985,8412,10088,55.5,35.13888889,"23.230151077",68.46673095,8.69
"Winthrop University",0.5698,40.96,54.32,30710,14678,28676,79.25,3523,13,0.7361,8923,9121,63.95,28.21100917,"20.643192488",68.54460094,9.03
"Augustana University",0.7297,17.8,51.68,55159,40160,40160,67.75,1965,12,0.8612,6324,18775,59.93,14.48275862,"20.236065574",65.24590164,4.73
"Black Hills State University",0.4263,20.01,27.6,21277,8764,11866,96.33,1928,17,0.7165,8430,6388,66.08,28.39673913,"22.829174664",62.18809981,5.24
"Dakota State University",0.513,16.81,33.97,25753,9654,12756,88.05,2071,18,0.7546,9954,8768,75.16,27.55102041,"23.882099828",38.29604131,4.54
"Dakota Wesleyan University",0.4832,27.12,72.75,43864,33790,33790,73.38,670,12,0.7514,6962,7028,52.22,28.94168467,"22.506097561",57.5203252,7.01
"Mount Marty University",0.5238,22.35,41.06,48247,34600,34600,42.57,697,12,0.6759,7411,8163,31.3,32.02846975,"22.537459283",68.40390879,9.61
"Northern State University",0.4894,12.45,22.14,22077,8845,11947,93,1273,19,0.7698,8949,9584,94.53,30.69164265,"21.594666667",60.53333333,5.5
"South Dakota School of Mines and Technology",0.5295,16.87,40.37,25385,10500,14900,79.87,2071,12,0.8409,11245,13495,88.04,18.31357049,"20.625634518",22.46192893,5.7
"South Dakota State University",0.6235,16.82,42.61,24636,9299,12809,98.34,9198,17,0.8381,10231,10257,80.65,20.19482062,"20.884015374",55.59574949,2.99
"University of Sioux Falls",0.6291,28.84,67.01,34274,21750,21750,82.89,1218,18,0.745,7056,6358,100,24.71590909,"22.289719626",64.08544726,6.9
"University of South Dakota",0.5991,18.66,40.38,24422,9432,12942,98.78,5439,16,0.7934,9264,11862,65.22,24.25454545,"21.652853261",63.41711957,5.81
"Austin Peay State University",0.4024,43.5,34.05,22233,9006,14766,96.41,7560,14,0.6997,9044,9781,100,39.5009936,"23.378538903",59.90892892,12.12
"Baptist Health Sciences University",0.398,45.43,69.03,22227,13796,13796,82.02,770,6,0.5263,10403,22319,100,42.85714286,"26.654761905",92.00680272,6.1
"Belmont University",0.7066,20.75,34.28,62570,42540,42540,95.28,7137,12,0.8694,10550,13651,64.43,15.84582441,"20.476534296",65.39453326,10.54
