Source,Date,Mean
GCAG,7/6/1928,-0.1773
GISTEMP,7/6/1928,-0.21
GCAG,6/6/1928,-0.2777
GISTEMP,6/6/1928,-0.41
GCAG,5/6/1928,-0.1866
GISTEMP,5/6/1928,-0.3
GCAG,4/6/1928,-0.2444
GISTEMP,4/6/1928,-0.29
GCAG,3/6/1928,-0.263
GISTEMP,3/6/1928,-0.28
GCAG,2/6/1928,-0.145
GISTEMP,2/6/1928,-0.12
GCAG,1/6/1928,-0.08
GISTEMP,1/6/1928,-0.04
GCAG,12/6/1927,-0.3132
GISTEMP,12/6/1927,-0.36
GCAG,11/6/1927,-0.0397
GISTEMP,11/6/1927,-0.04
GCAG,10/6/1927,0.014
GISTEMP,10/6/1927,-0.01
GCAG,9/6/1927,-0.0275
GISTEMP,9/6/1927,-0.06
GCAG,8/6/1927,-0.1145
GISTEMP,8/6/1927,-0.19
GCAG,7/6/1927,-0.1035
GISTEMP,7/6/1927,-0.15
GCAG,6/6/1927,-0.2014
GISTEMP,6/6/1927,-0.27
GCAG,5/6/1927,-0.2286
GISTEMP,5/6/1927,-0.25
GCAG,4/6/1927,-0.2207
GISTEMP,4/6/1927,-0.31
GCAG,3/6/1927,-0.2563
GISTEMP,3/6/1927,-0.39
GCAG,2/6/1927,-0.1917
GISTEMP,2/6/1927,-0.21
GCAG,1/6/1927,-0.1723
GISTEMP,1/6/1927,-0.28
GCAG,12/6/1926,-0.2158
GISTEMP,12/6/1926,-0.3
GCAG,11/6/1926,-0.0784
GISTEMP,11/6/1926,-0.06
GCAG,10/6/1926,-0.084
GISTEMP,10/6/1926,-0.11
GCAG,9/6/1926,-0.1031
GISTEMP,9/6/1926,-0.11
GCAG,8/6/1926,-0.0882
GISTEMP,8/6/1926,-0.11
GCAG,7/6/1926,-0.1582
GISTEMP,7/6/1926,-0.21
GCAG,6/6/1926,-0.1224
GISTEMP,6/6/1926,-0.25
GCAG,5/6/1926,-0.1345
GISTEMP,5/6/1926,-0.25
GCAG,4/6/1926,-0.1389
GISTEMP,4/6/1926,-0.15
GCAG,3/6/1926,0.0756
GISTEMP,3/6/1926,0.12
GCAG,2/6/1926,0.0811
GISTEMP,2/6/1926,0.07
GCAG,1/6/1926,0.166
GISTEMP,1/6/1926,0.2
GCAG,12/6/1925,0.1358
GISTEMP,12/6/1925,0.11
GCAG,11/6/1925,0.0584
GISTEMP,11/6/1925,0.03
GCAG,10/6/1925,-0.1326
GISTEMP,10/6/1925,-0.17
GCAG,9/6/1925,-0.104
GISTEMP,9/6/1925,-0.13
GCAG,8/6/1925,-0.1374
GISTEMP,8/6/1925,-0.19
GCAG,7/6/1925,-0.2093
GISTEMP,7/6/1925,-0.3
GCAG,6/6/1925,-0.2291
GISTEMP,6/6/1925,-0.34
GCAG,5/6/1925,-0.2233
GISTEMP,5/6/1925,-0.3
GCAG,4/6/1925,-0.1633
GISTEMP,4/6/1925,-0.25
GCAG,3/6/1925,-0.1692
GISTEMP,3/6/1925,-0.24
GCAG,2/6/1925,-0.2783
GISTEMP,2/6/1925,-0.35
GCAG,1/6/1925,-0.3246
GISTEMP,1/6/1925,-0.34
GCAG,12/6/1924,-0.3912
GISTEMP,12/6/1924,-0.43
GCAG,11/6/1924,-0.2942
GISTEMP,11/6/1924,-0.23
GCAG,10/6/1924,-0.2879
GISTEMP,10/6/1924,-0.36
GCAG,9/6/1924,-0.2836
GISTEMP,9/6/1924,-0.3
GCAG,8/6/1924,-0.2895
GISTEMP,8/6/1924,-0.35
GCAG,7/6/1924,-0.2216
GISTEMP,7/6/1924,-0.27
GCAG,6/6/1924,-0.2259
GISTEMP,6/6/1924,-0.28
GCAG,5/6/1924,-0.1903
GISTEMP,5/6/1924,-0.19
GCAG,4/6/1924,-0.2466
GISTEMP,4/6/1924,-0.35
GCAG,3/6/1924,-0.113
GISTEMP,3/6/1924,-0.12
GCAG,2/6/1924,-0.1859
GISTEMP,2/6/1924,-0.27
GCAG,1/6/1924,-0.2536
GISTEMP,1/6/1924,-0.24
GCAG,12/6/1923,0.0001
GISTEMP,12/6/1923,-0.06
GCAG,11/6/1923,0.0285
GISTEMP,11/6/1923,0.03
GCAG,10/6/1923,-0.1619
GISTEMP,10/6/1923,-0.13
GCAG,9/6/1923,-0.2454
GISTEMP,9/6/1923,-0.28
GCAG,8/6/1923,-0.2824
GISTEMP,8/6/1923,-0.3
GCAG,7/6/1923,-0.282
GISTEMP,7/6/1923,-0.29
GCAG,6/6/1923,-0.1948
GISTEMP,6/6/1923,-0.24
GCAG,5/6/1923,-0.2488
GISTEMP,5/6/1923,-0.33
GCAG,4/6/1923,-0.3381
GISTEMP,4/6/1923,-0.38
GCAG,3/6/1923,-0.2697
GISTEMP,3/6/1923,-0.32
GCAG,2/6/1923,-0.3785
GISTEMP,2/6/1923,-0.37
GCAG,1/6/1923,-0.2143
GISTEMP,1/6/1923,-0.27
GCAG,12/6/1922,-0.1563
GISTEMP,12/6/1922,-0.17
GCAG,11/6/1922,-0.1929
GISTEMP,11/6/1922,-0.17
GCAG,10/6/1922,-0.2506
GISTEMP,10/6/1922,-0.33
GCAG,9/6/1922,-0.2525
GISTEMP,9/6/1922,-0.29
GCAG,8/6/1922,-0.2793
GISTEMP,8/6/1922,-0.31
GCAG,7/6/1922,-0.2615
GISTEMP,7/6/1922,-0.27
GCAG,6/6/1922,-0.282
GISTEMP,6/6/1922,-0.32
GCAG,5/6/1922,-0.2647
GISTEMP,5/6/1922,-0.34
GCAG,4/6/1922,-0.1301
GISTEMP,4/6/1922,-0.22
GCAG,3/6/1922,-0.0787
GISTEMP,3/6/1922,-0.13
GCAG,2/6/1922,-0.2945
GISTEMP,2/6/1922,-0.44
GCAG,1/6/1922,-0.3221
GISTEMP,1/6/1922,-0.34
GCAG,12/6/1921,-0.0822
